time_days,event
2401.1666666666665,1
2454.2916666666665,1
2470.1666666666665,1
2387.8333333333335,1
1989.375,1
2470.1666666666665,1
2429.9583333333335,1
2133.7083333333335,1
1527.0833333333333,0
1423.8333333333333,0
1430.875,0
1425.7916666666667,0
1438.9583333333333,0
1229.5833333333333,0
637.3333333333334,0
964.2083333333334,0
683.4166666666666,0
836.2083333333334,0
810.5416666666666,0
704.5,0
838.4166666666666,0
556.625,0
885.3333333333334,0
479.5,0
532.0,0
839.125,0
573.5833333333334,0
665.125,0
573.4583333333334,0
879.125,0
654.25,0
532.375,0
664.4583333333334,0
425.1666666666667,0
161.20833333333334,0
664.2916666666666,0
966.2083333333334,0
965.8333333333334,0
879.0416666666666,0
829.375,0
647.1666666666666,0
318.1666666666667,0
704.375,0
668.375,0
573.2083333333334,0
532.25,0
458.4166666666667,0
559.375,0
746.4166666666666,0
647.4583333333334,0
747.125,0
571.5833333333334,0
567.5833333333334,0
579.4583333333334,0
2602.125,0
2602.2083333333335,0
2586.9583333333335,0
2602.2916666666665,0
2601.9583333333335,0
2602.2083333333335,0
2602.2083333333335,0
2602.2083333333335,0
2602.4583333333335,0
2586.7083333333335,0
2602.5833333333335,0
2602.4166666666665,0
2602.2083333333335,0
2602.7083333333335,0
2602.25,0
2602.625,0
2602.0,0
2602.2916666666665,0
2601.875,0
2602.4583333333335,0
2602.125,0
2602.75,0
2602.125,0
2602.0833333333335,0
2602.1666666666665,0
2602.125,0
2602.1666666666665,0
2586.9166666666665,0
2602.0833333333335,0
2602.2916666666665,0
2602.125,0
2602.0416666666665,0
2603.0833333333335,0
2602.1666666666665,0
2602.1666666666665,0
2602.5833333333335,0
2602.5416666666665,0
2602.125,0
2602.1666666666665,0
2602.7916666666665,0
2601.9166666666665,0
2602.2083333333335,0
2601.875,0
2602.2916666666665,0
2602.7083333333335,0
2602.5,0
2602.25,0
2602.9166666666665,0
2603.0416666666665,0
2602.5,0
2602.9583333333335,0
2602.0416666666665,0
2602.2083333333335,0
2602.25,0
2602.1666666666665,0
2602.625,0
2602.0833333333335,0
2602.25,0
2602.0,0
2602.2916666666665,0
2601.8333333333335,0
2602.2083333333335,0
2602.2083333333335,0
