time_days,event
570.0416666666666,1
447.8333333333333,1
480.375,1
470.0416666666667,1
452.375,1
420.8333333333333,1
455.7083333333333,1
411.5833333333333,1
333.7083333333333,1
212.08333333333334,1
155.29166666666666,1
155.5,1
112.25,1
150.54166666666666,1
226.83333333333334,1
112.625,1
134.08333333333334,1
50.791666666666664,1
610.6666666666666,1
561.375,1
528.0416666666666,1
491.1666666666667,1
577.8333333333334,1
525.3333333333334,1
189.79166666666666,1
377.9583333333333,1
133.0,1
160.83333333333334,1
138.5,1
889.625,1
854.5833333333334,1
883.9166666666666,1
858.2083333333334,1
752.625,1
829.4166666666666,1
727.6666666666666,1
740.3333333333334,1
726.75,1
466.5416666666667,1
692.5416666666666,1
692.625,1
190.70833333333334,1
723.7916666666666,0
724.2916666666666,0
724.3333333333334,0
723.625,0
724.4583333333334,0
723.7916666666666,0
724.25,0
724.3333333333334,0
724.25,0
723.9583333333334,0
724.125,0
723.4166666666666,0
724.125,0
708.25,0
723.9166666666666,0
709.625,0
724.375,0
723.9583333333334,0
723.7083333333334,0
724.5416666666666,0
724.0416666666666,0
723.7083333333334,0
724.2916666666666,0
724.375,0
675.9166666666666,0
724.0416666666666,0
722.2083333333334,0
724.6666666666666,0
724.0833333333334,0
723.625,0
723.9166666666666,0
723.4583333333334,0
724.0,0
723.5,0
723.75,0
724.0416666666666,0
724.2083333333334,0
723.875,0
723.2916666666666,0
723.2916666666666,0
724.2083333333334,0
724.0833333333334,0
724.125,0
723.875,0
723.9583333333334,0
724.0416666666666,0
724.5,0
724.4583333333334,0
723.5,0
724.2083333333334,0
721.4166666666666,0
724.375,0
723.7916666666666,0
724.5,0
724.2916666666666,0
723.3333333333334,0
724.125,0
724.5,0
724.2083333333334,0
724.0,0
709.4166666666666,0
724.5416666666666,0
723.75,0
724.25,0
724.0,0
723.9583333333334,0
724.125,0
724.125,0
723.7916666666666,0
723.2083333333334,0
738.4166666666666,0
723.5,0
708.0416666666666,0
738.375,0
676.625,0
722.5416666666666,0
722.25,0
724.3333333333334,0
724.2916666666666,0
739.125,0
724.25,0
724.0416666666666,0
723.7083333333334,0
724.125,0
724.5,0
724.0,0
722.5416666666666,0
723.875,0
724.0833333333334,0
724.375,0
721.625,0
717.875,0
718.9583333333334,0
718.7083333333334,0
718.5833333333334,0
718.5,0
718.5,0
718.2083333333334,0
718.7916666666666,0
738.5,0
719.2916666666666,0
738.7083333333334,0
718.0416666666666,0
738.6666666666666,0
738.9166666666666,0
718.0833333333334,0
718.3333333333334,0
738.625,0
718.5,0
718.875,0
718.75,0
719.2083333333334,0
739.0833333333334,0
738.5833333333334,0
707.75,0
707.5833333333334,0
707.7916666666666,0
676.2083333333334,0
676.4166666666666,0
676.75,0
676.1666666666666,0
567.2083333333334,0
708.25,0
708.2916666666666,0
676.5833333333334,0
676.5833333333334,0
677.0,0
682.0833333333334,0
676.5833333333334,0
676.6666666666666,0
682.0,0
676.5833333333334,0
707.8333333333334,0
676.5,0
678.0,0
678.125,0
676.75,0
676.2916666666666,0
676.25,0
677.875,0
676.2083333333334,0
675.8333333333334,0
657.125,0
682.4166666666666,0
676.7083333333334,0
676.375,0
682.125,0
682.1666666666666,0
669.8333333333334,0
669.5833333333334,0
671.75,0
655.9583333333334,0
657.5833333333334,0
669.75,0
670.0416666666666,0
657.5833333333334,0
469.9583333333333,0
669.4166666666666,0
669.7083333333334,0
669.7083333333334,0
669.8333333333334,0
471.0,0
669.9166666666666,0
669.375,0
469.625,0
669.7083333333334,0
669.6666666666666,0
470.6666666666667,0
669.5833333333334,0
669.3333333333334,0
643.3333333333334,0
669.5416666666666,0
669.5833333333334,0
470.3333333333333,0
468.625,0
468.5416666666667,0
669.6666666666666,0
468.625,0
669.4166666666666,0
470.1666666666667,0
470.5416666666667,0
470.25,0
469.9166666666667,0
469.7916666666667,0
470.625,0
671.625,0
469.7916666666667,0
470.2083333333333,0
468.9583333333333,0
469.0,0
471.3333333333333,0
468.4583333333333,0
471.1666666666667,0
568.25,0
567.2916666666666,0
567.25,0
542.875,0
568.4166666666666,0
567.2916666666666,0
567.2083333333334,0
217.83333333333334,0
567.0833333333334,0
566.875,0
542.6666666666666,0
576.8333333333334,0
566.625,0
575.75,0
567.3333333333334,0
567.2916666666666,0
575.9583333333334,0
542.7083333333334,0
542.4583333333334,0
566.7083333333334,0
577.0,0
542.5,0
571.125,0
575.9583333333334,0
542.5833333333334,0
542.3333333333334,0
566.9166666666666,0
568.125,0
542.2916666666666,0
542.375,0
575.8333333333334,0
566.75,0
567.375,0
542.8333333333334,0
567.125,0
576.0416666666666,0
542.6666666666666,0
575.9166666666666,0
